teks_bersih,kategori,urgensi,instansi
halo selamat siang pagar pembatas jalan agak miring perlu dibenerin sudah kami laporkan berkali kali,infrastruktur,biasa,Dinas Pekerjaan Umum
ada kasus tbc menyebar di lingkungan padat penduduk butuh penanganan cepat,kesehatan,sangat_urgen,Dinas Kesehatan
kepada yth pemda ada tambang ilegal beroperasi di wilayah kami merusak lingkungan,keamanan,urgen,Satuan Polisi Pamong Praja
informasi syarat urus ktp di website ga update,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
laporan: penipuan berkedok arisan online makan banyak korban di kelurahan kami kami sangat terganggu,keamanan,urgen,Satuan Polisi Pamong Praja
mbak keracunan massal di kantin sekolah puluhan anak muntah muntah dibawa ke rs terima kasih sebelumnya,kesehatan,sangat_urgen,Dinas Kesehatan
ada keluhan nih klinik desa ga ada dokter tetap cuma ada perawat minta tolong banget,kesehatan,urgen,Dinas Kesehatan
kepada yth pemda lampu jalan di gang kami mati udah 2 minggu gelap bgt malem udah lama nih,infrastruktur,urgen,Dinas Pekerjaan Umum
kepada yth pemda terimakasih sudah mengadakan kegiatan bersih bersih di lingkungan kami udah lama nih,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
mas trotoar depan pasar rusak parah orang sering kesandung mohon perhatiannya,infrastruktur,urgen,Dinas Pekerjaan Umum
laporan: bangunan liar di lahan fasilitas umum ga ada penertiban segera ya pak,keamanan,biasa,Satuan Polisi Pamong Praja
halo pemda got besar penuh sampah plastik banjir kalo ujan cepat ya pak,kebersihan,urgen,Dinas Lingkungan Hidup
selamat pagi mau lapor pembuangan sampah ilegal di pinggir sawah menggunung kami banget terganggu,kebersihan,urgen,Dinas Lingkungan Hidup
pak ada beberapa warga buang sampah sembarangan di pinggir jalan,kebersihan,biasa,Dinas Lingkungan Hidup
kepada yth pemda ada kelompok yang sering bikin keributan di malam hari ganggu warga terima kasih semasih belumnya,keamanan,urgen,Satuan Polisi Pamong Praja
pengurusan izin mendirikan bangunan sudah setahun tidak selesai,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
minta tolong motor trail sering ugal ugalan di jalan kampung ganggu warga tolong diperhatikan,keamanan,biasa,Satuan Polisi Pamong Praja
laporan: keracunan air minum warga dari pdam banyak yang mual muntah harap segera ada tindakan,kesehatan,sangat_urgen,Dinas Kesehatan
selamat pagi mau lapor keracunan air minum penduduk dari pdam buanyak yang mual muntah tolong cepet ditangani,kesehatan,sangat_urgen,Dinas Kesehatan
minta tolong dana desa ga transparan warga ga tau dipake untuk apa aja tolong diperhatikan,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
kepada yth pemda keracunan massal di kantin sekolah puluhan anak muntah muntah dibawa ke rs kapan ada solusinya,kesehatan,sangat_urgen,Dinas Kesehatan
tolong got depan rumah mampet banjir kecil tiap hujan tolong dong,infrastruktur,urgen,Dinas Pekerjaan Umum
tps liar di pinggir jalan numpuk ga pernah diangkut nyamuk buanyak,kebersihan,urgen,Dinas Lingkungan Hidup
minta tolong taman di pinggir jalan kurang terawat rumputnya tinggi harap segera ada tindakan,infrastruktur,biasa,Dinas Pekerjaan Umum
pengaduan: ikan ikan di sungai mati massal diduga kena limbah pabrik mohon perhatiannya,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
mohon kasus pencurian di komplek kami makin sering ga ada ronda malam mohon ditindak,keamanan,urgen,Satuan Polisi Pamong Praja
pak got kecil di depan rumah agak mampet kapan ada solusinya,infrastruktur,biasa,Dinas Pekerjaan Umum
permisi mau lapor jalan kampung kami masih belum diaspal becek banget kalo ujan tolong dong,infrastruktur,urgen,Dinas Pekerjaan Umum
permisi mau lapor got depan rumah agak kotor perlu dikuras terima kasih sebelumnya,kebersihan,biasa,Dinas Lingkungan Hidup
kepada yth pemda kursi tunggu di puskesmas kurang banyak pasien harus berdiri tolong cepet ditangani,kesehatan,biasa,Dinas Kesehatan
halo pemda ruangan pelayanan dukcapil kurang nyaman ga ada ac tolong cepet ditangani,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
halo selamat siang rumput di taman kota tumbuh liar perlu dipangkas,kebersihan,biasa,Dinas Lingkungan Hidup
tolong antrian puskesmas ga teratur pasien lansia berdiri berjam jam kapan ada solusinya,kesehatan,urgen,Dinas Kesehatan
permisi mau lapor jalan alternatif satu satunya ke desa kami rusak parah udah lama nih,infrastruktur,urgen,Dinas Pekerjaan Umum
halo pemda data penerima bantuan sosial tidak diperbarui masih pakai data lama,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
mohon mesin fotokopi di kantor kelurahan sering rusak udah lama nih,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
papan pengumuman di kantor kelurahan jarang diupdate kami sangat terganggu,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
selamat pagi mau lapor pemkot salatiga keren programnya pro rakyat kapan ada solusinya,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
laporan: halo pak bupati semoga sehat selalu dan sukses terus kapan ada solusinya,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
minta tolong nomor telepon kantor kecamatan susah dihubungi tolong cepet ditangani,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
tolong got meluap banjir masuk rumah warga udah setinggi lutut,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
dengan hormat halte bus atapnya bocor ujan masuk warga resah ini,infrastruktur,biasa,Dinas Pekerjaan Umum
mbak makasih ya udah benerin jalan di depan rumah kami mohon ditindak,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
pak air pdam berasa aneh bau ga layak minum penduduk takut konsumsi,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
mohon ibu hamil di desa kami susah akses bidan jaraknya jauh banget,kesehatan,urgen,Dinas Kesehatan
laporan: rumput di taman kota tumbuh liar perlu dipangkas penduduk resah ini,kebersihan,biasa,Dinas Lingkungan Hidup
mas got kecil di rt kami jarang dibersihkan petugas tolong diperhatikan,kebersihan,biasa,Dinas Lingkungan Hidup
mohon jembatan kayu di desa kami lapuk berbahaya kalo dilewati minta tolong banget,infrastruktur,urgen,Dinas Pekerjaan Umum
mau lapor nih pemda tanggap banget waktu kami laporan langsung direspon tolong dong,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
pengaduan: pencemaran udara dari pabrik bikin warga sesak napas batuk batuk warga resah ini,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
mbak ada pembuangan limbah ilegal di dekat sekolah baunya menyengat terima kasih sebelumnya,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
tumpukan sampah terbakar asapnya tebal masuk ke rumah warga sesak napas,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
mau lapor nih asap pabrik hitam pekat setiap hari ganggu warga sekitar warga resah ini,kebersihan,urgen,Dinas Lingkungan Hidup
pohon besar tumbang nutupin jalan utama total ga bisa dilewati tolong ditindak,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
selamat pagi mau lapor talud sungai retak retak rawan jebol saat banjir terima kasih semasih belumnya,infrastruktur,urgen,Dinas Pekerjaan Umum
ada keluhan nih petugas apotek puskesmas kurang ramah saat melayani kapan ada solusinya,kesehatan,biasa,Dinas Kesehatan
halo selamat siang kartu keluarga sejahtera kami hilang dari daftar tidak tahu sebabnya kami tunggu tindakannya,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
senang lihat kota kami makin rapi dan bersih,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
puskesmas kami tidak punya alat usg padahal bejibun ibu hamil,kesehatan,urgen,Dinas Kesehatan
pak nomor telepon kantor kecamatan susah dihubungi tolong diperhatikan,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
truk sampah ga pernah dateng ke rt kami udah 2 minggu numpuk minta tolong banget,kebersihan,urgen,Dinas Lingkungan Hidup
permisi mau lapor sktm buat daftar sekolah ga bisa didapat harus menyogok dulu udah lama nih,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
pak rt kami aktif banget ngurus warga mantap jiwa tolong diperhatikan,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
halo selamat siang penculikan anak terjadi di dekat sekolah dasar tolong segera ditangani mohon ditindak,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
permisi mau lapor bansos ga tepat sasaran tetangga mampu dapat saya yang susah malah tidak dapat warga resah ini,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
kepada yth pemda penertiban pkl ga konsisten balik lagi besoknya kapan ada solusinya,keamanan,biasa,Satuan Polisi Pamong Praja
antrian puskesmas ga teratur pasien lansia berdiri berjam jam sudah kami laporkan berkali kali,kesehatan,urgen,Dinas Kesehatan
loket pelayanan ktp cuma buka sampai jam 11 terlalu singkat,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
petugas kelurahan kurang ramah saat melayani warga,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
sungai butek item bau warga banyak yang kena penyakit kulit sudah kami laporkan berkali kali,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
program beasiswa dari pemda sangat membantu anak kami mohon perhatiannya,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
got kecil di rt kami jarang dibersihkan petugas,kebersihan,biasa,Dinas Lingkungan Hidup
got depan rumah agak kotor perlu dikuras,kebersihan,biasa,Dinas Lingkungan Hidup
mbak fogging dbd ga pernah dilakukan padahal kasus terus naik,kesehatan,urgen,Dinas Kesehatan
paving block di trotoar ada beberapa yang copot,infrastruktur,biasa,Dinas Pekerjaan Umum
minta tolong pelaku kekerasan dalam rumah tangga kabur setelah menyerang korban parah tolong cepet ditangani,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
halo pemda taman bermain anak kotor banyak sampah plastik tolong perhatiannya,kebersihan,biasa,Dinas Lingkungan Hidup
fogging dbd ga pernah dilakukan padahal kasus terus naik,kesehatan,urgen,Dinas Kesehatan
mas ada pedagang yang jualan di badan jalan bahayain pengendara tolong diperhatikan,keamanan,biasa,Satuan Polisi Pamong Praja
mohon bangunan liar di lahan fasilitas umum ga ada penertiban harap buru buru ada tindakan,keamanan,biasa,Satuan Polisi Pamong Praja
bu taman bermain anak kotor banyak sampah plastik,kebersihan,biasa,Dinas Lingkungan Hidup
permisi mau lapor motor trail sering ugal ugalan di jalan kampung ganggu masyarakat harap segera ada tindakan,keamanan,biasa,Satuan Polisi Pamong Praja
gorong gorong jebol jalan ambles dalam banget berbahaya bgt tolong diperhatikan,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
bu tumpukan sampah di gang belakang makin tinggi ga ada yang angkut kami sangat terganggu,kebersihan,urgen,Dinas Lingkungan Hidup
ada keluhan nih petugas apotek puskesmas kurang ramah saat melayani,kesehatan,biasa,Dinas Kesehatan
jalan kampung kami belum diaspal becek banget kalo ujan kami sangat terganggu,infrastruktur,urgen,Dinas Pekerjaan Umum
pak pembuangan sampah ilegal di pinggir sawah menggunung sdh kami laporkan berkali kali,kebersihan,urgen,Dinas Lingkungan Hidup
knalpot brong di jalanan bikin bising ganggu ketenangan warga minta tolong banget,keamanan,biasa,Satuan Polisi Pamong Praja
pasien kritis ditolak igd rs daerah katanya penuh padahal darurat,kesehatan,sangat_urgen,Dinas Kesehatan
tolong pasar tradisional sampahnya numpuk bau amis kemana mana kami tunggu tindakannya,kebersihan,urgen,Dinas Lingkungan Hidup
selamat pagi mau lapor mantep deh pemda udah cepet nanggepin keluhan penduduk segera ya pak,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
pagar pembatas jalan agak miring perlu dibenerin,infrastruktur,biasa,Dinas Pekerjaan Umum
halo pemda urus izin usaha kecil dipersulit minta biaya yang ga jelas kapan ada solusinya,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
penerangan di lorong puskesmas kurang terang,kesehatan,biasa,Dinas Kesehatan
salut sama kerja keras pak lurah kami orangnya baik segera ya pak,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
pak polisi tidur di jalan depan sekolah terlalu tinggi kami sangat terganggu,infrastruktur,biasa,Dinas Pekerjaan Umum
ada pedagang yang jualan di badan jalan bahayain pengendara segera ya pak,keamanan,biasa,Satuan Polisi Pamong Praja
halo selamat siang ada kasus leptospirosis setelah banjir warga mulai demam tinggi terima kasih seblmnya,kesehatan,sangat_urgen,Dinas Kesehatan
got depan rumah mampet banjir kecil tiap hujan,infrastruktur,urgen,Dinas Pekerjaan Umum
petugas kebersihan jarang masuk ke gang kami kapan diselesaikan,kebersihan,biasa,Dinas Lingkungan Hidup
mas tidak ada wifi di ruang tunggu puskesmas warga resah ini,kesehatan,biasa,Dinas Kesehatan
pengaduan: air pdam berasa aneh bau ga layak minum warga takut konsumsi warga resah ini,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
mohon got saluran air di perumahan kami mampet udah sebulan tolong diperhatikan,infrastruktur,urgen,Dinas Pekerjaan Umum
dengan hormat pkl di trotoar bikin macet dan ganggu lalu lintas kapan ada solusinya,keamanan,biasa,Satuan Polisi Pamong Praja
ada keluhan nih ada bangunan yang cat temboknya jorok mengotori pemandangan kapan diselesaikan,keamanan,biasa,Satuan Polisi Pamong Praja
kepada yth pemda pasien rujukan ditolak rs tanpa alasan yang jelas minta perhatiannya,kesehatan,urgen,Dinas Kesehatan
halte bus atapnya bocor ujan masuk sudah kami laporkan berkali kali,infrastruktur,biasa,Dinas Pekerjaan Umum
dengan hormat penerangan di lorong puskesmas kurang terang kapan diselesaikan,kesehatan,biasa,Dinas Kesehatan
jalan desa berlubang lubang parah apalagi musim hujan udah lama nih,infrastruktur,urgen,Dinas Pekerjaan Umum
akta kelahiran anak susah banget diurusnya syaratnya berbelit belit sudah kami laporkan berkali kali,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
pak rt kami aktif banget ngurus warga mantap jiwa,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
selamat pagi mau lapor wabah diare menyebar di desa kami udah 20 orang kena termasuk balita segera ya pak,kesehatan,sangat_urgen,Dinas Kesehatan
begal sering beroperasi di jalan alternatif desa ga ada patroli sudah kami laporkan berkali kali,keamanan,urgen,Satuan Polisi Pamong Praja
pengaduan: aspal di depan rumah saya mengelupas sudah kami laporkan berkali kali,infrastruktur,biasa,Dinas Pekerjaan Umum
bu formulir pendaftaran di kelurahan susah didapat kapan diselesaikan,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
mau lapor nih bansos ga tepat sasaran tetangga mampu dapat saya yang susah malah tidak dapat kami tunggu tindakannya,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
mbak ada bangunan yang cat temboknya jorok mengotori pemandangan mohon ditindak,keamanan,biasa,Satuan Polisi Pamong Praja
got kecil di rt kami jarang dibersihkan petugas harap segera ada tindakan,kebersihan,biasa,Dinas Lingkungan Hidup
jalan amblas dalam banget motor aku sampe jatuh tadi malem tolong cepet ditangani,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
jalan masuk komplek rusak parah susah dilalui motor segera ya pak,infrastruktur,urgen,Dinas Pekerjaan Umum
sistem antrian puskesmas masih manual belum pakai nomor,kesehatan,biasa,Dinas Kesehatan
plang nama gang kami copot perlu dipasang lagi harap segera ada tindakan,infrastruktur,biasa,Dinas Pekerjaan Umum
bu pagar pembatas jalan agak miring perlu dibenerin kami tunggu tindakannya,infrastruktur,biasa,Dinas Pekerjaan Umum
permisi mau lapor drainase gang depan rumah agak bau perlu dikuras tolong cepet ditangani,kebersihan,biasa,Dinas Lingkungan Hidup
cat zebra cross di perempatan udah pudar,infrastruktur,biasa,Dinas Pekerjaan Umum
sampah plastik banyak berserakan di pinggir kali tolong diperhatikan,kebersihan,biasa,Dinas Lingkungan Hidup
mohon pemda tanggap banget waktu kami laporan langsung direspon udah lama nih,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
ijazah anak ditahan sekolah karena masalah administrasi pembayaran,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
perampok bersenjata masuk ke rumah warga tadi malam tolong dong,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
program posyandu di kelurahan kami bagus terus ditingkatkan,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
halo pemda limbah kimia ngalir ke sawah tanaman warga pada mati semua tolong diperhatikan,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
kamar mandi puskesmas sering tidak ada airnya,kesehatan,biasa,Dinas Kesehatan
mohon remaja di bawah umur terlibat tawuran bawa celurit ada yang masuk ugd tolong dong,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
kepada yth pemda ada kasus tbc menyebar di lingkungan padat penduduk butuh penanganan cepat masyarakat resah ini,kesehatan,sangat_urgen,Dinas Kesehatan
ada warga yang pelihara ayam di pemukiman padat bau dan berisik,keamanan,biasa,Satuan Polisi Pamong Praja
penerangan jalan umum di jalan protokol banyak yang mati tolong cepet ditangani,infrastruktur,urgen,Dinas Pekerjaan Umum
ikan ikan di sungai mati massal diduga kena limbah pabrik tolong dong,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
ada keluhan nih terimakasih sudah mengadakan kegiatan bersih bersih di lingkungan kami kami tunggu tindakannya,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
kepada yth pemda nomor antrian di kantor kecamatan sistemnya masih manual warga resah ini,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
laporan: wabah diare menyebar di desa kami udah 20 orang kena termasuk balita udah lama nih,kesehatan,sangat_urgen,Dinas Kesehatan
laporan: tempat sampah di depan kantor kelurahan jarang dikosongkan minta tolong banget,kebersihan,biasa,Dinas Lingkungan Hidup
dengan hormat keracunan massal di kantin sekolah puluhan anak muntah muntah dibawa ke rs udah lama nih,kesehatan,sangat_urgen,Dinas Kesehatan
mau lapor nih jalan cor beton kampung kami retak dan ambles di beberapa titik,infrastruktur,urgen,Dinas Pekerjaan Umum
ada orang gila mengamuk bawa parang ancam warga sekitar mohon ditindak,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
halo pemda sertifikat tanah saya ga kunjung kelar udah setaun nunggu kapan ada solusinya,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
pengaduan: sungai kecil belakang perumahan penuh sampah bau busuk,kebersihan,urgen,Dinas Lingkungan Hidup
wabah campak menyebar di sekolah dasar puluhan anak kena mohon perhatiannya,kesehatan,sangat_urgen,Dinas Kesehatan
selamat pagi mau lapor sindikat penipuan online beroperasi di wilayah kami udah banyak korban,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
keracunan air minum warga dari pdam buanyak yang mual muntah warga resah ini,kesehatan,sangat_urgen,Dinas Kesehatan
pengaduan: ada pengedar narkoba di lingkungan kami udah lapor tapi belum ada tindakan mohon ditindak,keamanan,urgen,Satuan Polisi Pamong Praja
pak ruangan pelayanan dukcapil kurang nyaman ga ada ac minta tolong banget,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
mbak program kb di puskesmas kami terhenti karena kekurangan petugas mohon perhatiannya,kesehatan,urgen,Dinas Kesehatan
halo pemda peredaran minuman keras ilegal di warung warung sekitar makin marak,keamanan,urgen,Satuan Polisi Pamong Praja
pengajuan beasiswa ga diproses padahal syarat lengkap dan nilai bagus,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
sampah di tps udah meluber ke jalan bau banget lalat dimana mana,kebersihan,urgen,Dinas Lingkungan Hidup
drainase mampet banjir tiap hujan deras,infrastruktur,urgen,Dinas Pekerjaan Umum
mau lapor nih tempat parkir rs daerah kurang luas sering penuh sudah kami laporkan berkali kali,kesehatan,biasa,Dinas Kesehatan
pak ada tambang ilegal beroperasi di wilayah kami merusak lingkungan,keamanan,urgen,Satuan Polisi Pamong Praja
mas sampah daun di depan rumah belum disapu petugas,kebersihan,biasa,Dinas Lingkungan Hidup
pak pelayanan kelurahan kami udah membaik lebih cepat dari sebelumnya,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
jalan cor beton kampung kami retak dan ambles di beberapa titik,infrastruktur,urgen,Dinas Pekerjaan Umum
mohon tempat sampah di depan kantor kelurahan jarang dikosongkan tolong diperhatikan,kebersihan,biasa,Dinas Lingkungan Hidup
pengaduan: ada warung yang buka sampai larut malam berisik tolong diperhatikan,keamanan,biasa,Satuan Polisi Pamong Praja
tolong terimakasih sudah pasang lampu jalan di gang kami kami sangat terganggu,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
dengan hormat penculikan anak terjadi di dekat sekolah dasar tolong segera ditangani kapan ada solusinya,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
ada warga yang buang sampah di lahan kosong depan rumah kami terima kasih sebelumnya,kebersihan,biasa,Dinas Lingkungan Hidup
ada keluhan nih senang lihat kota kami makin rapi dan bersih mohon perhatiannya,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
ada orang gila mengamuk bawa parang ancam warga sekitar kami tunggu tindakannya,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
pengaduan: sampah daun di depan rumah belum disapu petugas,kebersihan,biasa,Dinas Lingkungan Hidup
ada warga yang buang sampah di lahan kosong depan rumah kami tolong dong,kebersihan,biasa,Dinas Lingkungan Hidup
tolong tempat sampah di taman rusak perlu diganti,kebersihan,biasa,Dinas Lingkungan Hidup
drainase kecil di gang agak kotor perlu dibersihkan,infrastruktur,biasa,Dinas Pekerjaan Umum
terimakasih dah pasang lampu jalan di gang kami warga resah ini,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
permisi mau lapor drainase gang depan rumah agak bau perlu dikuras tolong dong,kebersihan,biasa,Dinas Lingkungan Hidup
penculikan anak terjadi di dekat sekolah dasar tolong segera ditangani sudah kami laporkan berkali kali,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
kursi tunggu di puskesmas kurang bejibun pasien harus berdiri segera ya pak,kesehatan,biasa,Dinas Kesehatan
selamat pagi mau lapor imunisasi anak di kelurahan kami ga jalan udah berbulan bulan sudah kami laporkan berkali kali,kesehatan,urgen,Dinas Kesehatan
bu mesin fotokopi di kantor kelurahan sering rusak tolong diperhatikan,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
air pdam berasa aneh bau ga layak minum warga takut konsumsi,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
trotoar depan pasar rusak parah orang sering kesandung mohon perhatiannya,infrastruktur,urgen,Dinas Pekerjaan Umum
jalan alternatif satu satunya ke desa kami rusak parah sudah kami laporkan berkali kali,infrastruktur,urgen,Dinas Pekerjaan Umum
selamat pagi mau lapor polisi tidur di jalan depan sekolah terlalu tinggi segera ya pak,infrastruktur,biasa,Dinas Pekerjaan Umum
halo selamat siang penertiban pkl ga konsisten balik lagi besoknya,keamanan,biasa,Satuan Polisi Pamong Praja
minta tolong begal bunuh pengendara motor tadi malem di jalan gelap deket desa kami,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
pengaduan: cat zebra cross di perempatan udah pudar tolong cepet ditangani,infrastruktur,biasa,Dinas Pekerjaan Umum
akta kelahiran anak susah banget diurusnya syaratnya berbelit belit,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
selamat pagi mau lapor obat obatan di puskesmas sering kosong pasien disuruh beli sendiri minta tolong banget,kesehatan,urgen,Dinas Kesehatan
bpjs saya dinonaktifkan padahal iuran selalu bayar tepat waktu,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
laporan: pelayanan puskesmas kurang ramah perawatnya galak kami tunggu tindakannya,kesehatan,biasa,Dinas Kesehatan
ada keluhan nih petugas kelurahan sering ga ada di tempat pas jam kerja mohon perhatiannya,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
papan nama jalan udah pudar susah dibaca sudah kami laporkan berkali kali,infrastruktur,biasa,Dinas Pekerjaan Umum
mau lapor nih lampu jalan di gang kami mati udah 2 minggu gelap bgt malem,infrastruktur,urgen,Dinas Pekerjaan Umum
halo pemda petugas apotek puskesmas kurang ramah saat melayani warga resah ini,kesehatan,biasa,Dinas Kesehatan
tolong ada pembunuhan di kampung kami semalam pelaku masih berkeliaran masyarakat takut kami tunggu tindakannya,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
taman kota kotor banyak sampah dedaunan buru buru ya pak,kebersihan,biasa,Dinas Lingkungan Hidup
kk kami salah data nama anak ketuker udah lapor berkali kali ga diperbaiki sudah kami laporkan berkali kali,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
penipuan berkedok arisan online makan banyak korban di kelurahan kami,keamanan,urgen,Satuan Polisi Pamong Praja
mbak jam pelayanan di kantor desa terlalu singkat tutup terlalu cepat minta tolong banget,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
makasih ya udah benerin jalan di depan rumah kami warga resah ini,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
pak kamar mandi puskesmas sering tidak ada airnya tolong cepet ditangani,kesehatan,biasa,Dinas Kesehatan
laporan: fasilitas toilet di puskesmas kurang bersih tolong diperhatikan,kesehatan,biasa,Dinas Kesehatan
mbak polisi tidur di jalan depan sekolah terlalu tinggi kapan diselesaikan,infrastruktur,biasa,Dinas Pekerjaan Umum
polisi tidur di jalan depan sekolah terlalu tinggi,infrastruktur,biasa,Dinas Pekerjaan Umum
stok vaksin di puskesmas habis imunisasi bayi tertunda,kesehatan,urgen,Dinas Kesehatan
kepada yth pemda bangunan liar di lahan fasilitas umum ga ada penertiban udah lama nih,keamanan,biasa,Satuan Polisi Pamong Praja
pengaduan: ada oknum yang sering mengintai rumah warga di malam hari mencurigakan tolong dong,keamanan,urgen,Satuan Polisi Pamong Praja
mbak ada penduduk yang pelihara ayam di pemukiman padat bau dan berisik,keamanan,biasa,Satuan Polisi Pamong Praja
bahu jalan agak rusak butuh perbaikan ringan kami parah terganggu,infrastruktur,biasa,Dinas Pekerjaan Umum
sampah medis bekas jarum suntik berserakan di taman bermain anak sudah kami laporkan berkali kali,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
pengaduan: tumpukan sampah terbakar asapnya tebal masuk ke rumah penduduk sesak napas,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
minta tolong sistem antrian puskesmas masih manual belum pakai nomor mohon ditindak,kesehatan,biasa,Dinas Kesehatan
ada keluhan nih banjir besar rendam jalan utama setinggi pinggang kendaraan ga bisa lewat warga resah ini,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
sungai kecil belakang perumahan penuh sampah bau busuk,kebersihan,urgen,Dinas Lingkungan Hidup
pak bpjs saya dinonaktifkan padahal iuran selalu bayar tepat waktu kapan diselesaikan,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
pkl di trotoar bikin macet dan ganggu lalu lintas,keamanan,biasa,Satuan Polisi Pamong Praja
bansos ga tepat sasaran tetangga mampu dapat saya yang susah malah tidak dapat kami sangat terganggu,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
mbak program posyandu di kelurahan kami bagus terus ditingkatkan tolong cepet ditangani,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
laporan: ruang tunggu kantor pelayanan tidak ada tempat duduk yang cukup sudah kami laporkan berkali kali,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
halo selamat siang pemda tanggap banget waktu kami laporan langsung direspon kapan diselesaikan,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
selamat pagi mau lapor bayi gizi buruk parah di desa kami butuh bantuan segera kami tunggu tindakannya,kesehatan,sangat_urgen,Dinas Kesehatan
terimakasih sudah pasang lampu jalan di gang kami,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
dengan hormat tenaga kesehatan di desa kami mengundurkan diri tidak ada penggantinya,kesehatan,urgen,Dinas Kesehatan
