teks_bersih,kategori,urgensi,instansi
mohon jmbtn retak prh gyang klo dilewati trk,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
dengan hormat info jadwal dokter di puskesmas ga pernah diupdate tolong cepet ditangani,kesehatan,biasa,Dinas Kesehatan
laporan: tembok penahan tanah jebol longsor ancam rumah masyarakat di bawah tolong diperhatikan,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
ada yang buang bangkai hewan di lahan kosong bau busuk minta ampun penduduk resah ini,kebersihan,urgen,Dinas Lingkungan Hidup
mohon ada pembunuhan di kmpung kami semalam pelaku msh berkeliaran segera pak,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
sampah berserakan di depan minimarket ga ada yang bersihin,kebersihan,biasa,Dinas Lingkungan Hidup
ada keluhan nih reklame ilegal banyak dipasang di pohon pohon jalan,keamanan,biasa,Satuan Polisi Pamong Praja
krcunan masal kntin sklh bnyk anak mth segera pak,kesehatan,sangat_urgen,Dinas Kesehatan
ada keluhan nih ada bangunan yang cat temboknya jorok mengotori pemandangan kapan diselesaikan,keamanan,biasa,Satuan Polisi Pamong Praja
halo selamat siang rumput di taman kota tumbuh liar perlu dipangkas,kebersihan,biasa,Dinas Lingkungan Hidup
petugas kebersihan jarang masuk ke gang kami kapan diselesaikan,kebersihan,biasa,Dinas Lingkungan Hidup
bu parkir di kantor kecamatan enggak tertata dengan baik sudah kami laporkan berkali kali,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
permisi mau lapor rambu lalu lintas di tikungan tajam hilang ga ada gantinya tolong dong,infrastruktur,urgen,Dinas Pekerjaan Umum
laporan: ada kasus tbc menyebar di lingkungan padat penduduk butuh penanganan cepat mohon ditindak,kesehatan,sangat_urgen,Dinas Kesehatan
ada kasus meningitis di kampung kami 3 orang udah masuk icu tolong dong,kesehatan,sangat_urgen,Dinas Kesehatan
jam buka puskesmas sering ga sesuai jadwal,kesehatan,biasa,Dinas Kesehatan
selamat pagi pemda semoga makin maju kotanya,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
terimakasih pemda sudah perhatikan warga kecil seperti kami sudah kami laporkan berkali kali,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
truk sampah ga pernah dateng ke rt kami udah 2 minggu numpuk,kebersihan,urgen,Dinas Lingkungan Hidup
selokan penuh sampah plastik air meluap ke jalan,kebersihan,urgen,Dinas Lingkungan Hidup
pagar pembatas jalan agak miring perlu dibenerin kami sangat terganggu,infrastruktur,biasa,Dinas Pekerjaan Umum
mohon tng lstrk mau rbh pke phn rwan bgt tolong cepet,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
mau lapor nih jalan cor beton kampung kami retak dan ambles di beberapa titik,infrastruktur,urgen,Dinas Pekerjaan Umum
mbak makasih ya udah benerin jalan di depan rumah kami mohon ditindak,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
permisi mau lapor bansos ga tepat sasaran tetangga mampu dapat saya yang susah malah tidak dapat warga resah ini,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
tolong smph mds jrm sntk brsrkan di tmn ank tolong cepet,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
penerangan jalan umum di jalan protokol banyak yang mati tolong cepet ditangani,infrastruktur,urgen,Dinas Pekerjaan Umum
bgl bnuh pngndara mtr jln glp tolong cepet,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
laporan: ada warga yang buang sampah di lahan kosong depan rumah kami segera ya pak,kebersihan,biasa,Dinas Lingkungan Hidup
pak perampok bersenjata masuk rmh warga tadi mlm minta tolong,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
permisi mau lapor pak camat kami orangnya ramah dan cepat tanggap tolong diperhatikan,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
drainase gang depan rumah agak bau perlu dikuras,kebersihan,biasa,Dinas Lingkungan Hidup
pak pagar pembatas jalan agak miring perlu dibenerin terima kasih sebelumnya,infrastruktur,biasa,Dinas Pekerjaan Umum
banjir besar rendam jalan utama setinggi pinggang kendaraan ga bisa lewat,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
taman kota kotor banyak sampah dedaunan minta tolong banget,kebersihan,biasa,Dinas Lingkungan Hidup
peredaran minuman keras ilegal di warung warung sekitar makin marak,keamanan,urgen,Satuan Polisi Pamong Praja
kepada yth pemda ktp saya udah 5 bulan belum jadi padahal semua syarat udah lengkap harap segera ada tindakan,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
tolong formulir pendaftaran di kelurahan susah didapat tolong diperhatikan,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
maling motor udah masuk ke perumahan kami 3x dalam sebulan ini tolong diperhatikan,keamanan,urgen,Satuan Polisi Pamong Praja
mau lapor nih ikan ikan di sungai mati massal diduga kena limbah pabrik segera ya pak,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
mbak ada penduduk yang pelihara ayam di pemukiman padat bau dan berisik,keamanan,biasa,Satuan Polisi Pamong Praja
halo pemda sertifikat tanah saya ga kunjung kelar udah setaun nunggu,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
mau lapor nih pos ronda di rt kami dah rusak perlu diperbaiki kami tunggu tindakannya,infrastruktur,biasa,Dinas Pekerjaan Umum
loket pendaftaran puskesmas prosesnya lama banget tolong cepet ditangani,kesehatan,biasa,Dinas Kesehatan
pak rt kami aktif banget ngurus warga mantap jiwa tolong diperhatikan,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
halo pemda posyandu ga aktif udah 4 bulan balita ga ada yang pantau mohon ditindak,kesehatan,urgen,Dinas Kesehatan
pak wbh cmpr sklh pluhn ank kna segera pak,kesehatan,sangat_urgen,Dinas Kesehatan
pengaduan: pelayanan di kecamatan lama banget bisa nunggu sampe sore terima kasih seblmnya,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
taman kota kotor banyak sampah dedaunan kapan diselesaikan,kebersihan,biasa,Dinas Lingkungan Hidup
balita di desa kami banyak yang kena gizi buruk butuh intervensi segera mohon ditindak,kesehatan,sangat_urgen,Dinas Kesehatan
bu bansos ga tepat sasaran tetangga mampu dapat saya yang susah malah tidak dapat mohon perhatiannya,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
pengaduan: warga banyak sesak napas akibat polusi pabrik terdekat kapan ada solusinya,kesehatan,sangat_urgen,Dinas Kesehatan
got kecil di depan rumah agak mampet kapan diselesaikan,infrastruktur,biasa,Dinas Pekerjaan Umum
bu jalan provinsi ambrol kena longsor akses kota putus total segera ya pak,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
mbak pasien rujukan ditolak rs tanpa alasan yang jelas harap segera ada tindakan,kesehatan,urgen,Dinas Kesehatan
begal bunuh pengendara motor tadi malem di jalan gelap deket desa kami,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
dengan hormat pkl di trotoar bikin macet dan ganggu lalu lintas kapan ada solusinya,keamanan,biasa,Satuan Polisi Pamong Praja
ada keluhan nih asap pabrik hitam pekat setiap hari ganggu warga sekitar terima kasih sebelumnya,kebersihan,urgen,Dinas Lingkungan Hidup
mau lapor nih jln prvnsi ambrol lngsor aks kota pts,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
tolong ada geng yang terror warga minta uang paksa tiap malam tolong dong,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
terimakasih sudah mengadakan kegiatan bersih bersih di lingkungan kami,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
jalan amblas dalam banget motor aku sampe jatuh tadi malem tolong cepet ditangani,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
minta tolong pelayanan bpjs dipersulit padahal kartu aktif dan iuran rutin bayar harap segera ada tindakan,kesehatan,urgen,Dinas Kesehatan
ada keluhan nih begal sering beroperasi di jalan alternatif desa ga ada patroli terima kasih sebelumnya,keamanan,urgen,Satuan Polisi Pamong Praja
minta tolong jalan cor beton kampung kami retak dan ambles di beberapa titik segera ya pak,infrastruktur,urgen,Dinas Pekerjaan Umum
dengan hormat trotoar di jalan retak retak sudah kami laporkan berkali kali,infrastruktur,biasa,Dinas Pekerjaan Umum
lampu penerangan di jembatan mati gelap berbahaya malam hari minta tolong banget,infrastruktur,urgen,Dinas Pekerjaan Umum
tolong twrn pke batu ad yg luka prh minta tolong,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
tempat pembuangan sampah sementara kelebihan kapasitas meluap warga resah ini,kebersihan,urgen,Dinas Lingkungan Hidup
warga membuang sampah ke sungai setiap malam mencemari air,kebersihan,urgen,Dinas Lingkungan Hidup
pak walikota salatiga keren banget programnya bagus terima kasih sebelumnya,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
laporan: limbah kimia ngalir ke sawah tanaman warga pada mati semua,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
mau lapor nih imunisasi anak di kelurahan kami ga jalan udah berbulan bulan segera ya pak,kesehatan,urgen,Dinas Kesehatan
halo selamat siang papan nama jalan udah pudar susah dibaca kapan diselesaikan,infrastruktur,biasa,Dinas Pekerjaan Umum
mohon sktm buat daftar sekolah ga bisa didapat harus menyogok dulu,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
pos ronda di rt kami sudah rusak perlu diperbaiki harap segera ada tindakan,infrastruktur,biasa,Dinas Pekerjaan Umum
kepada yth pemda polisi tidur di jalan depan sekolah terlalu tinggi kapan diselesaikan,infrastruktur,biasa,Dinas Pekerjaan Umum
mohon air smr wrg brubah wrna bau kima,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
wabah campak menyebar di sekolah dasar puluhan anak kena,kesehatan,sangat_urgen,Dinas Kesehatan
permisi mau lapor sampah berserakan di depan minimarket ga ada yang bersihin mohon ditindak,kebersihan,biasa,Dinas Lingkungan Hidup
tolong ada geng yang terror warga minta uang paksa tiap malam mohon ditindak,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
jalan provinsi ambrol kena longsor akses kota putus total udah lama nih,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
minta tolong kursi tunggu di puskesmas kurang banyak pasien harus berdiri buru buru ya pak,kesehatan,biasa,Dinas Kesehatan
mas sungai kecil belakang perumahan penuh sampah bau busuk kami tunggu tindakannya,kebersihan,urgen,Dinas Lingkungan Hidup
mesin fotokopi di kantor kelurahan sering rusak,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
mas tps liar di pinggir jalan numpuk ga pernah diangkut nyamuk bejibun tolong dong,kebersihan,urgen,Dinas Lingkungan Hidup
laporan: tempat sampah di depan kantor kelurahan jarang dikosongkan minta tolong banget,kebersihan,biasa,Dinas Lingkungan Hidup
tolong kartu indonesia pintar anak saya tidak cair padahal memenuhi syarat segera ya pak,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
stok vaksin di puskesmas habis imunisasi bayi tertunda,kesehatan,urgen,Dinas Kesehatan
tolong lmbh kmia ngalir ke swh tnaman mati segera pak,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
ada keluhan nih terimakasih sudah mengadakan kegiatan bersih bersih di lingkungan kami mohon perhatiannya,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
permisi mau lapor drainase gang depan rumah agak bau perlu dikuras tolong cepet ditangani,kebersihan,biasa,Dinas Lingkungan Hidup
pengaduan: talud sungai retak retak rawan jebol saat banjir harap segera ada tindakan,infrastruktur,urgen,Dinas Pekerjaan Umum
narkoba dijual terang2an dkt sdn anak anak terancam bahaya bgt,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
pos ronda di rt kami sudah rusak perlu diperbaiki,infrastruktur,biasa,Dinas Pekerjaan Umum
reklame ilegal banyak dipasang di pohon pohon jalan,keamanan,biasa,Satuan Polisi Pamong Praja
ada keluhan nih ktp saya udah 5 bulan belum jadi padahal semua syarat udah lengkap,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
obat obatan di puskesmas sering kosong pasien disuruh beli sendiri,kesehatan,urgen,Dinas Kesehatan
klinik desa ga ada dokter tetap cuma ada perawat,kesehatan,urgen,Dinas Kesehatan
tolong sungai kecil belakang perumahan penuh sampah bau busuk sdh kami laporkan berkali kali,kebersihan,urgen,Dinas Lingkungan Hidup
kepada yth pemda keracunan massal di kantin sekolah puluhan anak muntah muntah dibawa ke rs kapan ada solusinya,kesehatan,sangat_urgen,Dinas Kesehatan
pak camat kami orangnya ramah dan cepat tanggap minta tolong banget,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
dengan hormat tumpukan sampah terbakar asapnya tebal masuk ke rumah warga sesak napas kapan diselesaikan,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
program beasiswa dari pemda sangat membantu anak kami kami tunggu tindakannya,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
bu pak walikota salatiga keren banget programnya bagus kami tunggu tindakannya,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
perampok bersenjata masuk ke rumah penduduk tadi malam minta tolong banget,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
sampah medis bekas jarum suntik berserakan di taman bermain anak,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
sungai kecil belakang perumahan penuh sampah bau busuk,kebersihan,urgen,Dinas Lingkungan Hidup
mau lapor nih tng lstrk mau rbh pke phn rwan bgt segera pak,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
pak wrg kna dbd udh 5org positif,kesehatan,sangat_urgen,Dinas Kesehatan
jalan kampung kami belum diaspal becek banget kalo ujan kami sangat terganggu,infrastruktur,urgen,Dinas Pekerjaan Umum
mas bak sampah komunal di rt kami jarang diangkut tolong dong,kebersihan,biasa,Dinas Lingkungan Hidup
bahu jalan agak rusak butuh perbaikan ringan kami parah terganggu,infrastruktur,biasa,Dinas Pekerjaan Umum
minta tolong fasilitas toilet di puskesmas kurang bersih kapan diselesaikan,kesehatan,biasa,Dinas Kesehatan
kursi tunggu di puskesmas kurang bejibun pasien harus berdiri segera ya pak,kesehatan,biasa,Dinas Kesehatan
laporan: fasilitas toilet di puskesmas kurang bersih tolong diperhatikan,kesehatan,biasa,Dinas Kesehatan
selamat pagi mau lapor sindikat penipuan online beroperasi di wilayah kami udah banyak korban,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
mau lapor nih got kecil di rt kami jarang dibersihkan petugas,kebersihan,biasa,Dinas Lingkungan Hidup
stok vaksin di puskesmas habis imunisasi bayi tertunda mohon ditindak,kesehatan,urgen,Dinas Kesehatan
laporan: jalan berlubang gede di depan sekolah udah ada yang jatuh sudah kami laporkan berkali kali,infrastruktur,urgen,Dinas Pekerjaan Umum
jembatan kayu di desa kami lapuk berbahaya kalo dilewati terima kasih sebelumnya,infrastruktur,urgen,Dinas Pekerjaan Umum
tolong pasar tradisional sampahnya numpuk bau amis kemana mana kami tunggu tindakannya,kebersihan,urgen,Dinas Lingkungan Hidup
tempat sampah di taman rusak perlu diganti,kebersihan,biasa,Dinas Lingkungan Hidup
ada keluhan nih ada penembakan di daerah kami warga panik ga berani keluar rumah mohon ditindak,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
saluran irigasi sawah bocor petani rugi terus,infrastruktur,urgen,Dinas Pekerjaan Umum
mas aspal di depan rumah saya mengelupas kami sangat terganggu,infrastruktur,biasa,Dinas Pekerjaan Umum
kepada yth pemda ada kasus meningitis di kampung kami 3 orang udah masuk icu sudah kami laporkan berkali kali,kesehatan,sangat_urgen,Dinas Kesehatan
selamat pagi mau lapor pelayanan di kecamatan lama banget bisa nunggu sampe sore,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
laporan: knalpot brong di jalanan bikin bising ganggu ketenangan masyarakat kami tunggu tindakannya,keamanan,biasa,Satuan Polisi Pamong Praja
mohon jambret hp terjadi siang hari di jalan ramai pelaku kabur,keamanan,urgen,Satuan Polisi Pamong Praja
minta tolong ada bangunan yang cat temboknya jorok mengotori pemandangan minta tolong banget,keamanan,biasa,Satuan Polisi Pamong Praja
pnmbkan di daerah kmi wrg pnik bahaya bgt,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
pak air pdam berasa aneh bau ga layak minum penduduk takut konsumsi,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
mohon wbh cmpr sklh pluhn ank kna segera pak,kesehatan,sangat_urgen,Dinas Kesehatan
mbak fogging dbd ga pernah dilakukan padahal kasus terus naik,kesehatan,urgen,Dinas Kesehatan
tidak ada wifi di ruang tunggu puskesmas,kesehatan,biasa,Dinas Kesehatan
ada keluhan nih drainase mampet banjir tiap hujan deras harap segera ada tindakan,infrastruktur,urgen,Dinas Pekerjaan Umum
jadwal dokter spesialis di puskesmas terlalu sedikit,kesehatan,biasa,Dinas Kesehatan
halo selamat siang wabah diare menyebar di desa kami udah 20 orang kena termasuk balita sudah kami laporkan berkali kali,kesehatan,sangat_urgen,Dinas Kesehatan
sampah di tps udah meluber ke jalan bau banget lalat dimana mana,kebersihan,urgen,Dinas Lingkungan Hidup
mohon tps liar di pinggir jalan numpuk ga pernah diangkut nyamuk banyak,kebersihan,urgen,Dinas Lingkungan Hidup
pengaduan: sktm buat daftar sekolah ga bisa didapat harus menyogok dulu tolong dong,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
halo selamat siang pompa air irigasi rusak sawah warga kekeringan warga resah ini,infrastruktur,urgen,Dinas Pekerjaan Umum
selamat pagi mau lapor ada kasus leptospirosis setelah banjir warga mulai demam tinggi udah lama nih,kesehatan,sangat_urgen,Dinas Kesehatan
mohon remaja di bawah umur terlibat tawuran bawa celurit ada yang masuk ugd tolong dong,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
dengan hormat data penerima bantuan sosial gak diperbarui masih pakai data lama,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
ada keluhan nih papan nama jalan udah pudar susah dibaca kami tunggu tindakannya,infrastruktur,biasa,Dinas Pekerjaan Umum
minta data penerima bantuan sosial tidak diperbarui masih pakai data lama,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
dengan hormat jalan di komplek ada yang berlubang kecil udah lama nih,infrastruktur,biasa,Dinas Pekerjaan Umum
permisi mau lapor info jadwal dokter di puskesmas ga pernah diupdate,kesehatan,biasa,Dinas Kesehatan
pak tempat pembuangan sampah sementara kelebihan kapasitas meluap kapan diselesaikan,kebersihan,urgen,Dinas Lingkungan Hidup
peredaran narkoba terang terangan di dekat sekolah anak anak terancam,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
acara agustusan di kelurahan seru banget makasih pak rt,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
pak trotoar di jalan retak retak kapan ada solusinya,infrastruktur,biasa,Dinas Pekerjaan Umum
surat keterangan domisili dipersulit minta syarat yang tidak masuk akal,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
surat keterangan domisili dipersulit minta syarat yang tidak masuk akal kapan ada solusinya,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
halo selamat siang loket pendaftaran puskesmas prosesnya lama banget tolong dong,kesehatan,biasa,Dinas Kesehatan
pmbunuhan di kmpung kmi smlem,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
pak nomor telepon kantor kecamatan susah dihubungi tolong diperhatikan,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
petugas kelurahan kurang ramah saat melayani warga,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
ada keluhan nih bayi gizi buruk parah di desa kami butuh bantuan cepat terima kasih seblmnya,kesehatan,sangat_urgen,Dinas Kesehatan
kepada yth pemda terimakasih pemda sudah perhatikan warga kecil seperti kami udah lama nih,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
program pkh kami dihentikan tanpa pemberitahuan dan alasan yang jelas,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
mas tidak ada wifi di ruang tunggu puskesmas warga resah ini,kesehatan,biasa,Dinas Kesehatan
laporan: papan informasi kesehatan di puskesmas jarang diperbarui kapan diselesaikan,kesehatan,biasa,Dinas Kesehatan
tolong tembok penahan tanah jebol longsor ancam rumah warga di bawah mohon ditindak,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
mohon klinik desa ga ada dokter tetap cuma ada perawat kapan ada solusinya,kesehatan,urgen,Dinas Kesehatan
laporan: pmbunuhan di kmpung kmi smlem segera pak,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
pasien penyakit jantung ga bisa dirujuk karena ga ada ambulans,kesehatan,sangat_urgen,Dinas Kesehatan
ada tambang ilegal beroperasi di wilayah kami merusak lingkungan,keamanan,urgen,Satuan Polisi Pamong Praja
pemda tanggap banget waktu kami laporan langsung direspon mohon perhatiannya,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
tolong polisi tidur di jalan depan sekolah terlalu tinggi harap segera ada tindakan,infrastruktur,biasa,Dinas Pekerjaan Umum
air smr wrg brubah wrna bau kima segera pak,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
dengan hormat asap pabrik hitam pekat setiap hari ganggu warga sekitar warga resah ini,kebersihan,urgen,Dinas Lingkungan Hidup
selamat pagi mau lapor pak rt kami aktif banget ngurus warga mantap jiwa kami sangat terganggu,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
pengaduan: jalan alternatif satu satunya ke desa kami rusak parah,infrastruktur,urgen,Dinas Pekerjaan Umum
tolong kartu keluarga sejahtera kami hilang dari daftar tidak tahu sebabnya kami sangat terganggu,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
sistem antrian puskesmas masih manual belum pakai nomor segera ya pak,kesehatan,biasa,Dinas Kesehatan
bpjs saya dinonaktifkan padahal iuran selalu bayar tepat waktu,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
mbak info jadwal dokter di puskesmas ga pernah diupdate mohon perhatiannya,kesehatan,biasa,Dinas Kesehatan
kdrt prh krbanya luka2 plku kbr segera pak,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
ada keluhan nih premanisme di pasar makin merajalela pedagang resah harap segera ada tindakan,keamanan,urgen,Satuan Polisi Pamong Praja
tumpukan sampah di gang belakang makin tinggi ga ada yang angkut tolong cepet ditangani,kebersihan,urgen,Dinas Lingkungan Hidup
penipuan berkedok arisan online makan banyak korban di kelurahan kami,keamanan,urgen,Satuan Polisi Pamong Praja
laporan: tiang listrik mau roboh nempel ke pohon rawan banget kena angin tolong diperhatikan,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
mbak premanisme di pasar makin merajalela pedagang resah,keamanan,urgen,Satuan Polisi Pamong Praja
tolong lingkungan kami sekarang udah bersih makasih petugas kebersihan kami tunggu tindakannya,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
data penerima bantuan sosial tidak diperbarui masih pakai data lama tolong cepet ditangani,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
mohon ada penembakan di daerah kami warga panik ga berani keluar rumah tolong cepet ditangani,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
bu dokter puskesmas sering bolos pasien numpuk ga ada yang meriksa tolong perhatiannya,kesehatan,urgen,Dinas Kesehatan
halo pemda jalan depan sekolah retak dalam banget anak anak sering jatuh segera ya pak,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
rumput di taman kota tumbuh liar perlu dipangkas,kebersihan,biasa,Dinas Lingkungan Hidup
ada orang gila mengamuk bawa parang ancam warga sekitar kami tunggu tindakannya,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
bak sampah komunal di rt kami jarang diangkut,kebersihan,biasa,Dinas Lingkungan Hidup
ada keluhan nih got kecil di depan rumah agak mampet segera ya pak,infrastruktur,biasa,Dinas Pekerjaan Umum
bgl rmpas hp ibu2 td pg,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
laporan: program posyandu di kelurahan kami bagus terus ditingkatkan tolong cepet ditangani,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
bgl di jln tmbsan tiap mlm minta tolong,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
lmbh kmia ngalir ke swh tnaman mati,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
ada keluhan nih perjudian ilegal beroperasi terang terangan di garasi rumah masyarakat mohon ditindak,keamanan,urgen,Satuan Polisi Pamong Praja
mbak ambulans desa rusak ga bisa dipake warga ada yang sakit parah harap cepat ada tindakan,kesehatan,sangat_urgen,Dinas Kesehatan
minta tolong acara agustusan di kelurahan seru banget makasih pak rt kapan diselesaikan,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
permisi mau lapor tempat sampah di taman rusak perlu diganti sudah kami laporkan berkali kali,kebersihan,biasa,Dinas Lingkungan Hidup
mas petugas kelurahan kurang ramah saat melayani warga harap buru buru ada tindakan,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
got kecil di rt kami jarang dibersihkan petugas,kebersihan,biasa,Dinas Lingkungan Hidup
bu balita di desa kami banyak yang kena gizi buruk butuh intervensi segera,kesehatan,sangat_urgen,Dinas Kesehatan
halo selamat siang selamat pagi pemda semoga makin maju kotanya kami sangat terganggu,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
kasus pencurian di komplek kami makin sering ga ada ronda malam harap segera ada tindakan,keamanan,urgen,Satuan Polisi Pamong Praja
kepada yth pemda tps liar di pinggir jalan numpuk ga pernah diangkut nyamuk buanyak,kebersihan,urgen,Dinas Lingkungan Hidup
papan informasi kesehatan di puskesmas jarang diperbarui,kesehatan,biasa,Dinas Kesehatan
mbak paving block di trotoar ada beberapa yang copot harap segera ada tindakan,infrastruktur,biasa,Dinas Pekerjaan Umum
penerangan jalan umum di jalan protokol banyak yang mati sdh kami laporkan berkali kali,infrastruktur,urgen,Dinas Pekerjaan Umum
pengaduan: papan informasi kesehatan di puskesmas jarang diperbarui udah lama nih,kesehatan,biasa,Dinas Kesehatan
tawuran pake batu deket smp ada yg luka parah minta tolong tolong cepet,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
bu keracunan air minum warga dari pdam banyak yang mual muntah udah lama nih,kesehatan,sangat_urgen,Dinas Kesehatan
mas jalan longsor nutup akses ke 3 desa warga ga bisa kemana mana terima kasih sebelumnya,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
loket pelayanan ktp cuma buka sampai jam 11 terlalu singkat,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
mau lapor nih jln ambles dlm bgt mtr jth td mlm,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
taman di pinggir jalan kurang terawat rumputnya tinggi,infrastruktur,biasa,Dinas Pekerjaan Umum
sampah plastik banyak berserakan di pinggir kali tolong diperhatikan,kebersihan,biasa,Dinas Lingkungan Hidup
halo pemda drainase kecil di gang agak kotor perlu dibersihkan sdh kami laporkan berkali kali,infrastruktur,biasa,Dinas Pekerjaan Umum
halo pemda ada kelompok yang sering bikin keributan di malam hari ganggu warga tolong cepet ditangani,keamanan,urgen,Satuan Polisi Pamong Praja
mohon org gila ngamuk bawa parang ancam warga sekitar tolong cepet,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
minta tolong pemkot salatiga keren programnya pro rakyat,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
mbak warga bakar sampah tiap hari asapnya masuk ke rumah ganggu pernapasan warga resah ini,kebersihan,urgen,Dinas Lingkungan Hidup
ada keluhan nih saluran irigasi sawah bocor petani rugi terus,infrastruktur,urgen,Dinas Pekerjaan Umum
permohonan keringanan pajak sudah diajukan 3 bulan tidak ada respons,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
ada oknum yang sering mengintai rumah warga di malam hari mencurigakan harap segera ada tindakan,keamanan,urgen,Satuan Polisi Pamong Praja
